Titel: How a Camera Works PART 2 - (Part 1 was 11 years ago) - The Slow Mo Guys | Kanal: The Slow Mo Guys | Link: https://www.youtube.com/watch?v=8nyQWmflve4
Zeit_in_h, Aufrufe
0.0000, 2735
4.5848, 84986
7.0244, 291017
11.5027, 687086
18.2206, 1020645
23.1360, 1099920
28.2637, 1260436
30.8712, 1316076
35.6020, 1367749
43.2205, 1491878
47.7349, 1591252
52.4273, 1744004
54.9323, 1865814
59.7623, 1969219
68.0135, 2086239
75.7371, 2189782
79.7050, 2243809
83.7692, 2290494
91.2592, 2364012
96.4411, 2415073
100.9316, 2442903
