Titel: The Most Addictive Drugs Ranked & Other Insane Substance Stories | Kanal: The Infographics Show | Link: https://www.youtube.com/watch?v=AW6uvEr2K_o
Zeit_in_h, Aufrufe
0.0000, 316
2.5309, 6458
5.5089, 17335
8.3324, 35039
11.5832, 43030
14.3110, 46453
17.4017, 49389
20.2073, 51571
24.0650, 54075
26.5925, 55658
29.5318, 57001
32.3589, 58557
35.5466, 59823
38.3096, 60660
41.3593, 61573
44.1589, 62421
47.9856, 63497
50.4443, 64045
53.4135, 65033
56.1920, 65983
59.3969, 66774
62.0975, 67263
65.2595, 67829
68.1072, 68320
