Titel: What If Gravity Was 10% Stronger? | Kanal: Kurzgesagt – In a Nutshell | Link: https://www.youtube.com/watch?v=EqkRVbaBxtg
Zeit_in_h, Aufrufe
0.0000, 5449
4.0032, 111539
8.8079, 271712
13.8677, 364787
21.2201, 465383
25.9982, 519547
30.4734, 564026
33.0543, 588451
37.9644, 617891
46.7234, 661120
54.4830, 707014
58.2163, 727737
66.1714, 753884
71.7688, 772374
76.0029, 788589
80.8790, 817948
85.0905, 838868
92.5936, 870531
97.9033, 887419
102.4256, 910928
104.8373, 921270
109.1219, 935539
116.5975, 950095
121.7270, 959571
126.4118, 969844
128.8229, 973410
133.0907, 982905
140.5842, 994983
145.6895, 1004002
150.1828, 1013403
152.6097, 1018151
157.1443, 1025988
163.8742, 1036294
168.5347, 1044348
170.9863, 1048140
173.8167, 1051843
176.4833, 1054479
181.1371, 1058693
188.2179, 1065935
192.8531, 1068527
197.8854, 1072608
200.5339, 1075871
205.1155, 1079793
213.5747, 1085696
219.1994, 1091251
223.0069, 1096126
229.2365, 1102846
236.5478, 1108135
241.9475, 1112327
246.6181, 1115890
249.0278, 1119057
253.2989, 1122334
260.6755, 1127535
265.8565, 1130414
270.3750, 1133735
272.7949, 1135645
277.2635, 1138449
284.6017, 1142543
289.7506, 1144519
294.3015, 1146824
296.7532, 1147978
301.2154, 1150275
308.5463, 1152838
313.8061, 1154526
318.3909, 1156462
320.8305, 1157309
325.3088, 1159081
332.0266, 1161938
336.9421, 1163340
