Titel: Why the Moon Never Changes | Kanal: Mark Rober | Link: https://www.youtube.com/watch?v=KLJxCWeYGoE
Zeit_in_h, Aufrufe
0.0000, 4040
2.7612, 301960
5.7953, 584337
8.3076, 876435
12.1458, 1263299
14.5384, 1451634
17.5308, 1683354
20.3226, 1986114
23.5140, 2241638
26.2245, 2375770
29.3870, 2522686
32.2340, 2631109
36.2138, 2721914
38.6964, 2753463
41.5576, 2795976
44.3446, 2846457
47.5478, 2896057
50.2480, 2943217
53.3798, 3009934
56.2183, 3076133
60.1718, 3145575
62.7351, 3179118
65.8225, 3232422
68.5825, 3287122
71.6137, 3337822
74.3097, 3377521
77.5431, 3424419
80.3247, 3464781
84.1277, 3519736
86.6298, 3542836
89.6053, 3564517
92.4482, 3588219
95.6721, 3620539
98.4249, 3646354
101.5308, 3691880
104.3046, 3723406
108.1585, 3764215
110.6660, 3778666
113.6096, 3796233
116.4575, 3821893
119.6798, 3853158
122.4135, 3888012
125.4890, 3930180
128.3129, 3971621
132.1415, 4009541
134.6724, 4023922
137.6505, 4040869
