Titel: The Mistake That Exposed Osama Bin Laden | Kanal: The Infographics Show | Link: https://www.youtube.com/watch?v=SzR-CBRNxvA
Zeit_in_h, Aufrufe
0.0000, 1397
2.4199, 11996
6.8886, 84910
14.2267, 171717
19.3757, 204288
23.9265, 238445
26.3782, 253321
30.8404, 278668
38.1713, 296686
43.4311, 308573
48.0159, 328202
50.4555, 341371
54.9338, 361494
61.6517, 394865
66.5671, 408492
71.6948, 426780
74.3023, 434623
79.0331, 445758
86.6516, 469911
91.1660, 480600
95.8584, 492423
98.3634, 503360
103.1934, 518411
111.4446, 532020
119.1682, 542787
123.1361, 551690
127.2003, 562428
134.6903, 581117
139.8722, 593130
144.3627, 599207
146.8851, 605300
151.1477, 612522
158.3925, 625711
163.7251, 630741
168.3829, 640089
171.0251, 648456
175.2332, 657999
182.5596, 668515
187.8417, 674245
192.4439, 679742
199.0098, 687991
206.1298, 697671
211.3974, 703039
215.9528, 710205
218.5014, 712176
222.9640, 716675
229.8690, 728037
234.9257, 732843
239.5827, 739522
242.1296, 743450
247.2259, 751289
254.2121, 755275
259.0105, 761930
263.8633, 767837
266.4692, 771037
271.1612, 774110
279.6200, 778709
287.3159, 784501
291.2982, 787116
295.1290, 789201
302.5246, 793677
307.8664, 796865
312.3924, 801250
314.9913, 803961
319.1149, 808202
326.3541, 813428
