Titel: Why USA Just Spent $100 Billion to Save ¥ YEN | Kanal: The Infographics Show | Link: https://www.youtube.com/watch?v=tzK1Sqkf7VY
Zeit_in_h, Aufrufe
0.0000, 2217
2.4269, 38812
6.9615, 252269
13.6914, 372963
18.3519, 426232
20.8035, 449705
23.6339, 469223
26.3005, 484197
30.9543, 508219
38.0351, 565003
42.6703, 588630
47.7026, 604386
50.3511, 613460
54.9327, 625450
63.3919, 638185
69.0166, 648472
72.8241, 653975
79.0537, 661763
86.3650, 669485
91.7647, 676371
96.4353, 681460
98.8450, 684263
103.1161, 686964
110.4927, 691224
115.6737, 693537
120.1922, 695577
122.6121, 696913
127.0807, 699469
134.4189, 704050
139.5678, 705891
144.1187, 708411
146.5704, 709425
151.0326, 711446
158.3635, 714093
163.6233, 715348
168.2081, 716631
170.6477, 717104
175.1260, 717817
181.8438, 718950
186.7593, 719666
191.8870, 720721
194.4944, 721091
199.2252, 721816
206.8438, 723529
211.3582, 724649
216.0506, 725500
218.5555, 726287
223.3855, 727258
231.6368, 728846
239.3603, 730648
243.3283, 731466
247.3925, 732264
254.8825, 733314
260.0644, 733979
264.5548, 734428
267.0773, 734799
271.3398, 735572
278.5847, 737169
283.9173, 738320
288.5751, 739762
291.2172, 740241
295.4254, 740831
302.7517, 741948
308.0338, 742546
312.6361, 743132
319.2019, 744339
326.3220, 745353
331.5896, 745957
336.1450, 746522
338.6935, 746642
343.1562, 747162
350.0612, 747631
355.1179, 747915
359.7749, 748010
362.3217, 748200
367.4181, 748614
374.4042, 748599
379.2027, 748912
384.0555, 749243
386.6613, 749422
391.3533, 749679
399.8122, 749957
407.5080, 750578
411.4904, 750807
415.3211, 751076
422.7168, 751525
428.0586, 751865
432.5846, 752178
435.1835, 752281
439.3071, 752556
446.5463, 752861
451.8881, 753177
456.8122, 753503
463.1566, 753798
470.8667, 754084
476.2630, 754240
480.8529, 754438
487.4401, 754731
