Titel: 5 YOUTUBER MÜSSEN ALLE FEHLER FINDEN 5.0 (FINDEST DU ALLE?) | Kanal: BastiGHG | Link: https://www.youtube.com/watch?v=vM6Z512t1JY
Zeit_in_h, Aufrufe
0.0000, 455
2.8478, 43367
6.8384, 108394
9.3281, 130268
12.1685, 139780
14.9531, 156787
18.1633, 201549
20.8644, 231915
23.9833, 261766
26.8421, 289015
30.8031, 322313
33.3916, 328490
36.4716, 332255
39.2889, 338226
42.3380, 348988
45.1479, 360926
48.1624, 373663
50.9758, 386650
54.7641, 401823
57.3053, 406824
60.3053, 409191
63.0733, 411724
66.2836, 417820
69.1844, 424985
72.1440, 432837
74.9643, 442060
78.8155, 451219
81.3825, 453228
84.3315, 454262
87.1770, 455049
90.3666, 458274
93.7856, 463345
97.2646, 469249
101.9886, 477738
115.3454, 487769
125.7509, 508554
140.4413, 516921
149.4635, 527885
156.4209, 531589
163.6824, 536454
167.6856, 540539
172.4904, 546237
177.5501, 549589
184.9025, 552281
189.6806, 556910
194.1558, 562012
196.7368, 565854
201.6468, 569059
210.4059, 572393
218.1654, 580873
221.8988, 584879
229.8538, 587137
235.4512, 590186
239.6853, 593366
244.5615, 599042
248.7729, 601332
256.2760, 602836
261.5857, 604999
266.1081, 608866
268.5197, 610977
